"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"07.11.2023","4,8724","4,8815","4,9080","4,8585","","-0,26%"
"06.11.2023","4,8853","4,9031","4,9120","4,8813","","-0,32%"
"03.11.2023","4,9012","4,9555","4,9555","4,8753","","-1,05%"
"01.11.2023","4,9534","5,0357","5,0457","4,9509","","-1,62%"
"31.10.2023","5,0350","5,0475","5,0717","5,0085","","-0,24%"
"30.10.2023","5,0472","5,0143","5,0602","4,9717","","0,64%"
"27.10.2023","5,0152","4,9868","5,0202","4,9306","","0,58%"
"26.10.2023","4,9861","4,9963","5,0196","4,9861","","-0,17%"
"25.10.2023","4,9947","4,9928","5,0201","4,9853","","0,08%"
"24.10.2023","4,9908","5,0142","5,0312","4,9892","","-0,41%"
"23.10.2023","5,0112","5,0328","5,0545","4,9953","","-0,40%"
"20.10.2023","5,0312","5,0648","5,0990","5,0246","","-0,66%"
"19.10.2023","5,0646","5,0598","5,0838","5,0188","","0,11%"
"18.10.2023","5,0591","5,0415","5,0762","5,0278","","0,35%"
"17.10.2023","5,0414","5,0390","5,0659","5,0093","","0,07%"
"16.10.2023","5,0377","5,0532","5,0725","5,0315","","-0,83%"
"13.10.2023","5,0801","5,0504","5,1031","5,0448","","0,68%"
"12.10.2023","5,0460","5,0501","5,0501","5,0449","","-0,05%"
"11.10.2023","5,0483","5,0518","5,0714","5,0280","","-0,07%"
"10.10.2023","5,0516","5,1353","5,1400","5,0471","","-1,63%"
"09.10.2023","5,1355","5,1615","5,1820","5,1210","","-0,20%"
"06.10.2023","5,1457","5,1668","5,2210","5,1424","","-0,39%"
"05.10.2023","5,1658","5,1550","5,1884","5,1494","","0,19%"
"04.10.2023","5,1562","5,1673","5,1789","5,1231","","-0,21%"
"03.10.2023","5,1669","5,0637","5,1739","5,0637","","2,09%"
"02.10.2023","5,0610","5,0308","5,0810","5,0308","","0,58%"
"29.09.2023","5,0320","5,0335","5,0406","4,9876","","-0,02%"
"28.09.2023","5,0331","5,0436","5,0702","5,0140","","-0,19%"
"27.09.2023","5,0425","4,9911","5,0800","4,9864","","1,06%"
"26.09.2023","4,9898","4,9684","4,9942","4,9519","","0,44%"
"25.09.2023","4,9678","4,9320","4,9759","4,9320","","0,66%"
"22.09.2023","4,9351","4,9367","4,9381","4,9033","","0,00%"
"21.09.2023","4,9351","4,8802","4,9396","4,8795","","1,13%"
"20.09.2023","4,8801","4,8670","4,8840","4,8422","","0,26%"
"19.09.2023","4,8673","4,8553","4,8761","4,8390","","0,24%"
"18.09.2023","4,8556","4,8685","4,8784","4,8408","","-0,22%"
"15.09.2023","4,8663","4,8682","4,8802","4,8584","","-0,01%"
"14.09.2023","4,8668","4,9167","4,9214","4,8620","","-0,99%"
"13.09.2023","4,9153","4,9474","4,9683","4,8945","","-0,64%"
"12.09.2023","4,9470","4,9307","4,9690","4,9307","","0,33%"
"11.09.2023","4,9307","4,9845","4,9867","4,9202","","-1,15%"
"08.09.2023","4,9882","4,9787","4,9949","4,9636","","0,23%"
"07.09.2023","4,9767","4,9787","4,9787","4,9773","","-0,03%"
"06.09.2023","4,9784","4,9680","4,9953","4,9536","","0,23%"
"05.09.2023","4,9671","4,9376","4,9866","4,9376","","0,60%"
"04.09.2023","4,9376","4,9485","4,9490","4,9069","","-0,18%"
"01.09.2023","4,9463","4,9555","4,9558","4,8997","","-0,16%"
"31.08.2023","4,9544","4,8876","4,9613","4,8639","","1,34%"
"30.08.2023","4,8890","4,8536","4,8924","4,8424","","0,76%"
"29.08.2023","4,8523","4,8753","4,9027","4,8481","","-0,43%"
"28.08.2023","4,8731","4,8719","4,9121","4,8630","","0,04%"
"25.08.2023","4,8711","4,8816","4,9014","4,8560","","-0,19%"
"24.08.2023","4,8802","4,8576","4,8880","4,8545","","0,47%"
"23.08.2023","4,8572","4,9367","4,9433","4,8457","","-1,65%"
"22.08.2023","4,9386","4,9802","4,9805","4,9251","","-0,82%"
"21.08.2023","4,9793","4,9684","4,9967","4,9563","","0,20%"
"18.08.2023","4,9694","4,9760","5,0024","4,9567","","-0,13%"
"17.08.2023","4,9758","4,9883","4,9970","4,9583","","-0,24%"
"16.08.2023","4,9879","4,9859","4,9931","4,9502","","0,07%"
"15.08.2023","4,9845","4,9636","4,9983","4,9588","","0,46%"
"14.08.2023","4,9615","4,9126","4,9716","4,9102","","1,16%"
"11.08.2023","4,9048","4,8930","4,9104","4,8608","","0,25%"
"10.08.2023","4,8924","4,9029","4,9057","4,8400","","-0,20%"
"09.08.2023","4,9020","4,9009","4,9166","4,8738","","0,05%"
"08.08.2023","4,8996","4,8985","4,9418","4,8895","","-0,01%"
"07.08.2023","4,8999","4,8735","4,9152","4,8681","","0,55%"
"04.08.2023","4,8733","4,9185","4,9201","4,8453","","-0,89%"
"03.08.2023","4,9170","4,8126","4,9224","4,8123","","2,18%"
"02.08.2023","4,8120","4,7935","4,8225","4,7807","","0,44%"
"01.08.2023","4,7911","4,7295","4,8008","4,7280","","1,42%"
"31.07.2023","4,7241","4,7304","4,7607","4,7130","","-0,20%"
"28.07.2023","4,7336","4,7435","4,7500","4,6950","","-0,19%"
"27.07.2023","4,7424","4,7380","4,7596","4,7081","","0,13%"
"26.07.2023","4,7364","4,7508","4,7561","4,7220","","-0,28%"
"25.07.2023","4,7498","4,7274","4,7604","4,7159","","0,48%"
"24.07.2023","4,7271","4,7797","4,7840","4,7229","","-1,10%"
"21.07.2023","4,7795","4,8012","4,8257","4,7597","","-0,39%"
"20.07.2023","4,7980","4,7920","4,8123","4,7681","","0,15%"
"19.07.2023","4,7909","4,8108","4,8224","4,7790","","-0,41%"
"18.07.2023","4,8105","4,8067","4,8281","4,7943","","0,08%"
"17.07.2023","4,8066","4,7896","4,8507","4,7896","","0,36%"
"14.07.2023","4,7894","4,7965","4,8154","4,7757","","-0,16%"
"13.07.2023","4,7971","4,8201","4,8273","4,7858","","-0,44%"
"12.07.2023","4,8184","4,8532","4,8616","4,7832","","-0,73%"
"11.07.2023","4,8538","4,8985","4,9235","4,8520","","-0,90%"
"10.07.2023","4,8978","4,8696","4,9038","4,8535","","0,53%"
"07.07.2023","4,8720","4,9195","4,9360","4,8474","","-0,96%"
"06.07.2023","4,9193","4,8460","4,9507","4,8412","","1,47%"
"05.07.2023","4,8478","4,8413","4,8710","4,8348","","0,14%"
"04.07.2023","4,8408","4,8079","4,8500","4,7828","","0,69%"
"03.07.2023","4,8077","4,7885","4,8124","4,7592","","0,45%"
"30.06.2023","4,7860","4,8559","4,8709","4,7828","","-1,43%"
"29.06.2023","4,8553","4,8516","4,8750","4,8283","","0,10%"
"28.06.2023","4,8506","4,8121","4,8717","4,8097","","0,84%"
"27.06.2023","4,8103","4,7650","4,8148","4,7505","","0,90%"
"26.06.2023","4,7675","4,7838","4,7870","4,7579","","-0,39%"
"23.06.2023","4,7864","4,7719","4,8073","4,7653","","0,37%"
"22.06.2023","4,7689","4,7648","4,7884","4,7507","","0,12%"
"21.06.2023","4,7630","4,7907","4,8170","4,7624","","-0,57%"
"20.06.2023","4,7902","4,7780","4,8086","4,7734","","0,27%"
"19.06.2023","4,7772","4,8202","4,8320","4,7587","","-0,89%"
